漢字	音読み	訓読み	画数	部首	異体字	れい	例	
動	ドウ	うご(く)、うご(かす)	11	力,ちから	动(中)	どうぶつ、じどうしゃ	動物、自動車	
童	ドウ	わらべ	12	立,たつ		どうわ、じどう、どうよう	童話、自動、動揺	
農	ノウ		13	辰,たつ,しんのたつ		のうぎょう	農業	
波	ハ	なみ	8	氵,さんずい		つなみ、でんぱ	津波、電波	
配	ハイ	くば(る)	10	酉,とりへん		はいたつ	配達	
倍	バイ		10	亻,にんべん		ばい、にばい、さんばい、ばいりつ	倍、二倍、三倍、倍率	
箱		はこ	15	𥫗,たけかんむり		ごみばこ	ゴミ箱	
畑		はたけ、はた	9	田,た		はたけ、はなばたけ	畑、花畑	
発	ハツ、ホツ		9	癶,はつがしら	发(中)、發	しゅっぱつ、はつねつ、ほっさ	出発、発熱、発作	
反	ハン、タン、ホン	そ(らす)、そ(る)	4	又,また		はんたい、はんげき	反対、反撃	
坂	ハン	さか	7	土,つちへん		さかをのぼる、くだりざか、のぼりざか	坂を登る、下り坂、上り坂	
板	ハン、バン	いた	8	木,きへん		てっぱんやき、むないた、いたばり	鉄板焼き、胸板、板張り	
皮	ヒ	かわ	5	皮,かわ		ひふ	皮膚	
悲	ヒ	かな(しい)、かな(しむ)	12	心,こころ		ひめい	悲鳴	
美	ビ	うつく(しい)	9	羊,ひつじ		びじん	美人	
鼻	ビ	はな	14	鼻,はな		はなぢ、はなみず、じびか	鼻血、鼻水、耳鼻科	
筆	ヒツ	ふで	12	𥫗,たけかんむり		えんぴつ	鉛筆	
氷	ヒョウ	こおり	5	水,みず		ひょうが	氷河	
表	ヒョウ	あらわ(す)、あらわ(れる)、おもて	8	衣,ころも		だいひょう、ひょうじ	代表、表示	
秒	ビョウ		9	禾,のぎへん		いちびょう、さんびょうルール	一秒、三秒ルール	
病	ビョウ、ヘイ	やまい、や(む)	10	疒,やまいだれ		びょうき、げびょう	病気、げ病	
品	ヒン	しな	9	口,くち		げひん、じょうひん、しょうひん、てじな	下品、上品、商品、手品	
負	フ	ま(ける)、ま(かす)、お(う)	9	貝,かい		しょうぶ、せおう	勝負、背負う	
部	ブ		11	阝,おおざと		ぶぶん、ぶしゅ	部分、部首	
服	フク		8	月,つきへん		ふくをきる、せいふく	服を着る、制服	
福	フク		13	礻,しめすへん	福	ふくし、こうふく、しゅくふく、ふくしま	福祉、幸福、祝福、福島	
物	ブツ、モツ	もの	8	牜,うしへん		どうぶつ、にもつ	動物、荷物	
平	ヘイ、ビョウ	たい(ら)、ひら	5	干,かん,ほす		へいわ、ひらぢょうし	平和、平調子	
返	ヘン	かえ(す)、かえ(る)	7	辵辶⻌,しんにょう		へんきゃく、へんしん	返却、返信	
勉	ベン		10	力,ちから	勉	べんきょう	勉強	
放	ホウ	はな(つ)、はな(す)、ほう(る)	8	攵,のぶん		ほうそう、かいほう、ほうき	放送、解放、放棄	
味	ミ	あじ、あじ(わう)	8	口,くち		あじみ、したあじ	味見、下味	
命	メイ、ミョウ	いのち	8	口,くち		せいめい、じゅみょう、めいれい	生命、寿命、命令	
面	メン	おも、つら	9	面,めん		めん、めんどうくさい、おもしろい、じめん	面、面倒くさい、面白い、地面	
問	モン	と(い)、と(う)、とん	11	口,くち		もんだい、ぎもん	問題、疑問	
役	ヤク、エキ		7	彳,ぎょうにんべん		やくにたつ、ちょうえき	役に立つ、懲役	
薬	ヤク	くすり	16	艸艹,くさかんむり	藥			
由	ユ、ユウ、ユイ	よし	5	田,た		ゆらい、りゆう、ゆいしょ	由来、理由、由緒	
油	ユ	あぶら	8	氵,さんずい		せきゆ	石油	
有	ユウ、ウ	あ(る)	6	月,つき		ゆうめい、うむ	有名、有無	
遊	ユウ、ユ	あそ(ぶ)、あそ(び)	12	辵辶⻌,しんにょう		ゆうえんち	遊園地	
予	ヨ		4	亅,はねぼう	豫	よやく、よてい	予約、予定	
羊	ヨウ	ひつじ	6	羊,ひつじ		こひつじ	子羊	
洋	ヨウ		9	氵,さんずい		せいよう、せいようじん、ようふく、たいへいよう	西洋、西洋人、洋服、太平洋	
葉	ヨウ	は	12	艹,くさかんむり		はがき、はっぱ	葉書、葉っぱ	
陽	ヨウ	ひ	12	阜阝,こざとへん	阳(中)	たいよう	太陽	
様	ヨウ	さま	14	木,きへん	樣	どうよう、～さま	同様、～様	
落	ラク	お(ちる)、お(とす)	12	艹,くさかんむり		らくせき、いっけんらくちゃく	落石、一件落着	
流	リュウ、ル	なが(す)、なが(れる)	10	氵,さんずい		りゅうちょう、さすが、こうりゅう	流暢、流石、合流	
旅	リョ	たび	10	方,ほうへん,かたへん		りょこう	旅行	
両	リョウ		6	一,いち	兩	りょうほう、しゃりょう、ごりょうしん	両方、車両、ご両親	
緑	リョク、ロク	みどり	14	糹,いとへん	綠	りょくちゃ、きみどり	緑茶、黄緑	
礼	レイ、ライ		5	礻,しめすへん	禮	れいぎ、おれいをいう、しつれい	礼儀、お礼を言う、失礼	
列	レツ		6	刂,りっとう		れっしゃ、せいれつ	列車、整列	
練	レン	ね(る)	14	糹,いとへん	練	れんしゅう、くんれん	練習、訓練	
路	ロ	じ	13	足,あしへん		せんろ、どうろ	線路、道路	
和	ワ、オ	なご(む)、なご(やか)、やわ(らぐ)、やわ(らげる)	8	口,くち		へいわ、わふう、わしつ	平和、和風、和室	
愛	アイ		13	心,こころ	爱(中)	あい、あいしてる、れんあい	愛、愛してる、恋愛	
案	アン		10	木,き		あんない、ていあん	案内、提案	
以	イ	もっ(て)	5	人,ひと		いぜん、いがい、いこう、いか、いじょう、いらい	以前、以外、以降、以下、以上、以来	
衣	イ	ころも	6	衣,ころも		いしょう、いふく	衣装、衣服	
位	イ	くらい	7	亻,にんべん		いち、じゅんい、たんい、１い、２い…	位置、順位、単位、一位、2位	
囲	イ	かこ(む)、かこ(う)	7	囗,くにがまえ	圍	しゅうい、はんい、ふんいき、いご、	周囲、範囲、雰囲気、囲碁	
胃	イ		9	月,にくづき		いぶくろ、いちょう、いがいたい	胃袋、胃腸、胃が痛い	
印	イン	しるし	6	卩㔾,わりふ,ふひづくり		いんさつ、いんかん、いんしょう	印刷、印鑑、印象	
英	エイ		8	艹,くさかんむり		えいご、えいゆう、えいこく(イギリス)	英語、英雄、英国	
栄	エイ	さか(える)、は(え)、は(える)	9	木,き	榮	えいよう、えいこう、はんえい	栄養、栄光、繁栄	
塩	エン	しお	13	土,つちへん	鹽	しお、えんぶん	塩、塩分	
億	オク		15	亻,にんべん		いちおく、せん・まん・おく、10^8	一億	
加	カ	くわ(える)、くわ(わる)	5	力,ちから		さんか、ぞうか、かげん、かそく	参加、増加、加減、加速	
果	カ	は(たす)、は(て)、は(てる)、くだ	8	木,き		くだもの、かじつ	果物、果実	
貨	カ		11	貝,かい,こがい	货(中)	きんか(おかねのこと)、かしゃ	金貨、貨車	
課	カ		15	訁,ごんべん		かだい、かちょう、かてい、だいいっか、だいにか	課題、課長、課程、第一課、第二課	
芽	ガ	め	8	艹,くさかんむり		めばえ、はつが	芽生え、発芽	
改	カイ	あらた(める)、あらた(まる)	7	攵,のぶん		かいぜん、かいさつ、かいぞう、かいかく、かいざん	改善、改札、改造、改革、改竄	
械	カイ		11	木,きへん		きかい(マシン)、	機械	
害	ガイ		10	宀,うかんむり		ひがいしゃ、かがいしゃ、しょうがい、がいちゅう	被害者、加害者、障害、害虫	
街	ガイ、カイ	まち	12	行,ぎょうがまえ		まち、ちゅうかがい、じゅうたくがい、しょうてんがい	街、中華街、住宅街、商店街	
各	カク	おのおの	6	口,くち		かくじ、かっこく	各自、各国	
覚	カク、コウ	おぼ(える)、さ(ます)、さ(める)	12	見,みる	覺	かくご、かんかく、かくせい	覚悟、感覚、覚醒	
完	カン		7	宀,うかんむり		かんぺき、かんぜん	完璧、完全	
官	カン		8	宀,うかんむり		けいかん、きかん、しれいかん	警官、器官、司令官	
管	カン	くだ	14	𥫗,たけかんむり		かんり、くだ、かんかつ、けっかん	管理、管、管轄、血管	
関	カン	かか(わる)、せき	14	門,もんがまえ	關	かんけい、かんしん、かんれん、きかん、かんさい	関係、関心、関連、機関、関西	
観	カン	み(る)	18	見,みる	觀	かんこう、かんきゃく、かんさつ、テレビをみる	観光、観客、観察、テレビを観る	
願	ガン	ねが(う)	19	頁,おおがい		おねがいします	お願いします	
希	キ	まれ	7	巾,はば		まれな、(シンプルなほう)、(じょうようかんじ)、きぼう、きしょう	希な、希望、希少	
季	キ		8	子,こ		きせつ、しき	季節、四季	
紀	キ		9	糹,いとへん		せいき、きげん、きげんぜん	世紀、期限、紀元前	
喜	キ	よろこ(ぶ)	12	口,くち		きげき	喜劇	
旗	キ	はた	14	方,こうへん,かたへん		はた、こっき	旗、国旗	
器	キ	うつわ	15	口,くち	器	きぐ、ぶき、かくへいき	器具、武器、核兵器	
機	キ		16	木,きへん		きかい(マシン)、きのう、きかい(チャンス)	機械、機能、機会	
議	ギ		20	訁,ごんべん		かいぎ、ぎいん	会議、議員	
求	キュウ	もと(める)	7	水,したみず		ようきゅう、きゅうじん、よっきゅう	要求、求人、欲求	
泣	キュウ	な(く)	8	氵,さんずい		ごうきゅう	号泣	
救	キュウ	すく(う)	11	攵,のぶん		きゅうしゅつ、きゅうきゅうしゃ、きゅうじょ	救出、救急車、救助	
給	キュウ		12	糹,いとへん		きゅうりょう、じきゅう	給料、時給	
挙	キョ	あ(げる)、あ(がる)	10	扌,てへん	擧	せんきょ、しきをあげる	選挙、式を挙げる	
漁	ギョ、リョウ		14	氵,さんずい		ぎょせん、りょうし	漁船、漁師	
共	キョウ	とも	6	八,はち		～とともに、きょうぞん、きょうどう、きょうつう	～と共に、共存、共同、共通	
協	キョウ		8	十,じゅう		きょうかい、きょうりょく、だきょう、きょうぎ	協会、協力、妥協、協議	
鏡	キョウ	かがみ	19	釒,かねへん		めがね	眼鏡	
競	キョウ、ケイ	きそ(う)、せ(る)	20	立,たつ		きょうぎ、きょうそう、けいば	競技、競争、競馬	
極	キョク、ゴク	きわ(める)、きわ(まる)、きわ(み)	12	木,きへん		せっきょくてき、きょくげん、ごくらく	積極的、極限、極楽	
訓	クン		10	訁,ごんべん		くんよみ、くんれん、とっくん	訓読み、訓練、特訓	
軍	グン		9	車,くるま		ぐんたい、かいぐん	軍隊、海軍	
郡	グン		10	阝,おおざと		ぐんぶ、ぐんけん、ぐんせい...、とどうふけんの下のやつ	郡部、郡県、群生、都道府県の下のやつ	
径	ケイ		8	彳,ぎょうにんべん	徑	はんけい、ちょっけい	半径、直径	
型	ケイ	かた	9	土,つぢ		もけい、こがた、てんけい、おおがた	模型、小型、典型、大型	
景	ケイ		12	日,ひ		けしき、はいけい	景色、背景	
芸	ゲイ		7	艹,くさかんむり	藝	げいのうじん、げいにん、しゅげい	芸能人、芸人、手芸	
欠	ケツ	か(く)、か(ける)	4	欠,かける	缺	ふかけつ、けってん、あくび	不可欠、欠点、欠伸	
結	ケツ	むす(ぶ)、ゆ(う)、ゆ(わえる)	12	糹,いとへん		けっか、けっきょく、けっこん	結果、結局、結婚	
建	ケン、コン	た(つ)、た(てる)	9	廴,えんにょう		たてもの、けんちく	建物、建築	
健	ケン	すこ(やか)	11	亻,にんべん		けんこう、けんぜん、ほけん	健康、健全、保険	
験	ケン、ゲン		18	馬,うまへん	驗	しけん、けいけん、じっけん、じゅけん、たいけん	試験、経験、実験、受験、体験	
固	コ	かた(い)、かた(まる)、かた(める)	8	囗,くにがまえ		こてい、こゆう、がんこ	固定、固有、頑固	
功	コウ、ク		5	力,ちから		せいこう、こうせき	成功、功績	
好	コウ	この(む)、す(く)	6	女,おんな		～がすきです、だいこうぶつ	～が好きです、大好物	
候	コウ	そうろう	10	亻,にんべん		てんこう、こうほ、きこう、ちょうこう	天候、候補、気候、兆候	
航	コウ		10	舟,ふねへん		こうくうけん、こうくうがいしゃ、こうくうびん	航空券、航空会社、航空便	
康	コウ		11	广,まだれ		けんこう	健康	
告	コク	つ(げる)	7	口,くち		けいこく、じけんのひこく、ほうこく、こくはく	警告、事件の被告、報告、告白	
差	サ	さ(す)	10	工,え,たくみ		さべつ、じさ、さしだし	差別、時差、差出	
菜	サイ	な	11	艹,くさかんむり		やさい、さいしょく、はくさい	野菜、採食、白菜	
最	サイ	もっと(も)	12	曰,いわく		さいこう、さいご、さいあく	最高、最期、最悪	
材	ザイ		7	木,きへん		しゅざい、ざいりょう、きざい、そざい、もくざい	取材、材料、機材、素材、木材	
昨	サク		9	日,ひへん		きのう、さくねん、さくばん	昨日、昨年、昨晩	
札	サツ	ふだ	5	木,きへん		かいさつぐち、さっぽろ	改札口、札幌	
刷	サツ	す(る)	8	刂,りっとう		いんさつ	印刷	
殺	サツ、サイ、セツ	ころ(す)	10	殳,るまた	殺	さつじん、じさつ	殺人、自殺	
察	サツ		14	宀,うかんむり		かんさつ、けんさつ、さっする、ささつ	観察、検察、察する、査察	
参	サン	まい(る)	8	ム,む	參	さんか、さんこう、じさん	参加、参考、持参	
産	サン	う(まれる)、う(む)、うぶ	11	生,いきる	產	せいさん、しゅっさん、りゅうざん	生産、出産、流産	
散	サン	ち(らかす)、ち(らす)、ち(る)	12	攵,のぶん		さんぽ、かいさん、さんぱつ、さんざん	散歩、解散、散髪、散々	
残	ザン	のこ(す)、のこ(る)	10	歹歺,かばねへん	殘	ざんねん、ざんだか	残念、残高	
士	シ		3	士,さむらい		せんし、しんし	戦士、紳士	
氏	シ	うじ	4	氏,うじ		しめい、ジョナし	氏名、ジョナ氏	
史	シ		5	口,くち		れきし、しじょうはつ	歴史、史上初	
司	シ	つかさど(る)	5	口,くち		すし、じょうし、しれいかん	寿司、上司、司令官	
試	シ	こころ(みる)、ため(す)	13	訁,ごんべん		しけん、しさく	試験、試作	
児	ジ、ニ		7	儿,ひとあし	兒	もんだいじ、じどう、ようじ	問題児、児童、幼児	
治	ジ、チ	おさ(まる)、おさ(める)、なお(す)、なお(る)	8	氵,さんずい		せいじ、ちりょう、ちあん、たいじ、めいじ	政治、治療、治安、泰治、明治	
辞	ジ	や(める)	13	辛,からい	辭	じしょ、じしょく、じてん、じひょう	辞書、辞職、辞典、辞表	
失	シツ	うしな(う)	5	大,ダイ		しっぱい、しつぼう、しつれい、しつれん	失敗、失望、失礼、失恋	
借	シャク	か(りる)	10	亻,にんべん		しゃっきん	借金	
種	シュ	たね	14	禾,のぎへん		しゅるい、いっしゅ、じんしゅ、ひんしゅ、しゅぞく	種類、一種、人種、品種、種族	
周	シュウ	まわ(り)	8	口,くち		しゅうへん、しゅうい、いっしゅう、よういしゅうとう	周辺、周囲、一周、用意周到	
祝	シュク、シュウ	いわ(う)	9	礻,しめす	祝	しゅくじつ	祝日	
順	ジュン		12	頁,おおがい		てじゅん、じゅんちょう、じゅんばん	手順、順調、順番	
初	ハツ	はじ(め)、はじ(めて)、はつ	7	刂,りっとう		さいしょ、しょき、しょきゅう	最初、初期、初級	
松	ショウ	まつ	8	木,きへん		まつ(きのなまえ)、まつばやし	松、松林	
笑	ショウ	わら(う)	10	𥫗,たけかんむり		ばくしょう、えがお	爆笑、笑顔	
唱	ショウ	とな(える)	11	口,くちへん		がっしょう、ていしょう	合唱、提唱	
焼	ショウ	や(く)、や(ける)	12	火,ひへん	燒	やきとり、ねんしょう	焼き鳥、燃焼	
象	ショウ、ゾウ		12	豕,ぶた		ぞう(どうぶつ)、たいしょう、しょうちょう、いんしょう	象、対象、象徴、印象	
照	ショウ	て(らす)、て(る)、て(れる)	13	灬,れんが,れっか		しょうめい、さんしょう	照明、参照	
賞	ショウ		15	貝,こがい		しょうきん、しょうひん、じゅしょう、しょうじょうのじゅよ	賞金、賞品、受賞、賞状の授与	
臣	シン、ジン		7	臣,しん		だいじん、そうりだいじん	大臣、総理大臣	
信	シン		9	亻,にんべん		しん(じる)、しんじつ、つうしん、じしん、しんごう、しんじゃ	信じる、信実、通信、自身、信号、信者	
成	セイ、ジョウ	な(る)、な(す)	6	戈,ほこ		せいじん、せいちょう、せいか、さんせい	成人、成長、成果、賛成	
省	ショウ、セイ	はぶ(く)、かえり(みる)	9	目,め		がいむしょう、しょうりゃく、きせい	外務省、省略、帰省	
清	セイ、ショウ	きよ(い)、きよ(まる)、きよ(める)	11	氵,さんずい		せいけつ、せいそう	清潔、清掃	
静	セイ、ジョウ	しず(か)、しず(まる)、しず(める)	14	青,あおへん	靜	せいしゅく、れいせい	静粛、冷静	
席	セキ		10	巾,はば		しゅっせき、しゅせき、けっせき、きゃくせき	出席、主席、欠席、客席	
積	セキ	つ(む)、つ(もる)	16	禾,のぎへん		せっきょくてき	積極的	
折	セツ	おり、お(る)、お(れる)	7	扌,てへん		こっせつ	骨折	
節	セツ、セチ	ふし	13	𥫗,たけかんむり		せつやく、かんせつ、きせつ、ちょうせつ、おせちりょうり	節約、関節、季節、調節、お節料理	
説	セツ、ゼイ	と(く)	14	訁,ごんべん		せつめい、せっきょう、せっとく	説明、説教、説得	
浅	セン	あさ(い)	9	氵,さんずい	淺			
戦	セン	たたか(う)、いくさ	13	戈,ほこ	戰	せんそう	戦争	
選	セン	えら(ぶ)	15	辵辶⻌,しんにょう		せんたく、せんきょ	洗濯、選挙	
然	ゼン、ネン		12	灬,れんが,れっか		ぜんぜん(２ばんめ)、しぜん、てんねん	全然、自然、天然	
争	ソウ	あらそ(う)	6	亅,はねぼう	爭	せんそう	戦争	
倉	ソウ	くら	10	人,ひとやね		そうこ	倉庫	
巣	ソウ	す	11	⺍,つかんむり	巢	す(とりのす)	巣	
束	ソク	たば	7	木,き		はなたば	花束	
側	ソク	がわ	11	亻,にんべん		そくめん、～がわ(ひだりがわ)、うちがわ	側面、～側、内側	
続	ゾク	つづ(く)、つづ(ける)	13	糹,いとへん	续(中)、續	れんぞく、てつづき	連続、手続き	
卒	ソツ		8	十,じゅう		そつぎょう、こうそつ、しんそつ	卒業、高卒、新卒	
孫	ソン	まご	10	子,こへん		しそん	子孫	
帯	タイ	おび、お(びる)	10	巾,はば	帶	けいたい	携帯	
隊	タイ		12	阜阝,こざとへん		じえいたい、ぐんたい、たいちょう	自衛隊、軍隊、隊長	
達	タツ、タチ、ダチ		12	辵辶⻌,しんにょう		～たち(ふくすう)、たっせい、ともだち	～達、達成、友達	
単	タン		9	⺍,つかんむり	單	かんたん、たんすう	簡単、単数	
置	チ	お(く)	13	罒,あみがしら		おきば、せっち	置き場、設置	
仲	チュウ	なか	6	亻,にんべん		なかま、ちゅうかい	仲間、仲介	
貯	チョ		12	貝,こがい		ちょきん	貯金	
兆	チョウ	きわ(し)、きざ(す)	6	儿,ひとあし		ちょうこう、きっちょう、10^12	兆候、吉兆	
腸	チョウ	はらわた	13	月,にきづき		いちょう、ちょうえん	胃腸、腸炎	
低	テイ	ひく(い)、ひく(まる)、ひく(める)	7	亻,にんべん		ていか、ていおん、さいてい	低下、低温、最低	
底	テイ	そこ	8	广,まだれ		かいてい、とうてい	海底、到底	
停	テイ		11	亻,にんべん		ていし、ていしゃ、バスてい	停止、停車、バス停	
的	テキ	まと	8	白,しろへん		～てきな、もくてき、ぐたいてき	～的な、目的、具体的	
典	テン		8	八,はち		じてん、てんけいてき	辞典、典型的	
伝	デン	つた(える)、つた(わる)、つた(う)	6	亻,にんべん	傳	でんとう	伝統	
徒	ト		10	彳,ぎょうにんべん		せいと、とほ	生徒、徒歩	
努	ド	つと(める)	7	力,ちから		どりょく	努力	
灯	トウ	ひ、とぼし、とも(す)	6	火,ひへん	燈	とうだい、でんとう、がいとう	灯台、電灯、街灯	
堂	ドウ		11	土,つち		しょくどう、どうどう	食堂、堂々	
働	ドウ	はたら(く)	13	亻,にんべん				
特	トク		10	牜,うしへん		とくべつ、とっきゅう、とくに	特別、特急、特に	
得	トク	え(る)、う(る)	11	彳,ぎょうにんべん		しょとく、とくてん、かくとく	所得、得点、獲得	
毒	ドク		8	母,はは		どく、ちゅうどく	毒、中毒	
熱	ネツ	あつ(い)	15	灬,れんが,れっか		ねつ、はつねつ	熱、発熱	
念	ネン		8	心,こころ		きねん、ねんがん、ねんりょく、がいねん	記念、念願、念力、概念	
敗	ハイ	やぶ(れる)	11	攵,のぶん		はいぼく、しっぱい	敗北、失敗	
梅	バイ	うめ	10	木,きへん		うめぼし、うめしゅ、しょうちくばい	梅干し、梅酒、松竹梅	
博	ハク、バク		12	十,じゅう		はかせ、はくし、はくぶつかん	博士、博士、博物館	
飯	ハン	めし	12	飠,しょくへん		ごはん	ご飯	
飛	ヒ	と(ぶ)、と(ばす)	9	飛,とぶ	飞(中)	ひこうき	飛行機	
費	ヒ	つい(える)、つい(やす)	12	貝,こがい		しょうひ、しょうひきげん	消費、消費期限	
必	ヒツ	かなら(ず)	5	心,こころ		ひつよう、ひっしゅ	必要、必須	
票	ヒョウ		11	示,しめす		とうひょう、いっぴょう、でんぴょう	投票、一票、伝票	
標	ヒョウ		15	木,きへん		もくひょう、ひょうじゅんもんだいしゅう、ひょうてき	目標、標準問題集、標的	
不	フ、ブ		4	一,いち		ふめい、ふあん、ふまん	不明、不安、不満	
夫	フ、フウ	おっと	4	大,だい		おっと、ふうふ	夫、夫婦	
付	フ	つ(く)、つ(ける)	5	亻,にんべん		つける、ふきん、つきあい、～つき	付ける、付近、付き合い、～付き	
府	フ		8	广,まだれ		とどうふけん、きょうとふ	都道府県、京都府	
副	フク		11	刂,りっとう		ふくし(ぶんぽうの)、ふくしゃちょう、ふくさよう	副詞、副社長、副作用	
粉	フン	こ、こな	10	米,こめ		かふん、こなごな	花粉、粉々	
兵	ヘイ、ヒョウ		7	八,はち		へいし、へいき、かくへいき	兵士、兵器、核兵器	
別	ベツ	わか(れる)	7	刂,りっとう	别	べつに、べつの～、とくべつ	別に、別の、特別	
辺	ヘン	あた(り)、べ	5	辵辶⻌,しんにょう	邊	このへん、このあたり、しゅうへん	この辺、この辺り、周辺	
変	ヘン	か(える)、か(わる)	9	夂,ふゆがしら	变(中)、變	へんか、たいへん、へんかん、へんこう	変化、大変、変換、変更	
便	ベン、ビン	たよ(り)	9	亻,にんべん		べんり、こうくうびん、べんき	便利、航空便、便器	
包	ホウ	つつ(む)	5	勹,つつみがまえ		ほうい、ほうちょう、ほうたい	包囲、包丁、包帯	
法	ホウ、ハッ、ホッ		8	氵,さんずい		ほうりつ、けんぽう、ほうほう(２ばんめ)	法律、憲法、方法	
望	ボウ、モウ	のぞ(む)	11	月,つき		がんぼう、ぼうえんきょう	願望、望遠鏡	
牧	ボク	まき	8	牜,うしへん		ぼくじょう	牧場	
末	マツ、バツ	すえ	5	木,き		しゅうまつ、ねんまつ	週末、年末	
満	マン	み(たす)、み(ちる)	12	氵,さんずい	滿	まんせき、みまん	満席、未満	
未	ミ		5	木,き		みらい、みてい、みせいねん	未来、未定、未成年	
脈	ミャク		10	月,にくづき		さんみゃく、ぶんみゃく、みゃくはく	山脈、文脈、脈拍	
民	ミン	たみ	5	氏,うじ		みんぞく、こくみん、しみん、じゅうみん	民族、国民、市民、住民	
無	ブ、ム	な(い)	12	灬,れんが,れっか		ない、む、むしょく、ぶれい	無い、無、無職、無礼	
約	ヤク		9	糹,いとへん		せつやく、やくそく、やく～	節約、約束、約～	
勇	ユウ	いさ(む)、いさ(ましい)	9	力,ちから		ゆうしゃ、ゆうき、ゆうかん	勇者、勇気、勇敢	
要	ヨウ	かなめ、い(る)	9	覀,おおいかんむり		ようやく、ようするに、ひつよう	要約、要するに、必要	
養	ヨウ	やしな(う)	15	食,しょく		ようし、えいよう、きゅうよう	養子、栄養、休養	
浴	ヨク	あ(びる)、あ(びせる)	10	氵,さんずい		シャワーをあびる、よくそう、よくしつ、にゅうよく	浴びる、浴槽、浴室、入浴	
利	リ	き(く)	7	刂,りっとう		りえき、りよう	利益、利用	
陸	リク		11	阜阝,こざとへん		じょうりく、りくち、りくちゃく	上陸、陸地、陸着	
良	リョウ	よ(い)	7	艮,ねづくり		かいりょう、ふりょう、なかよく	改良、不良、仲良く	
料	リョウ		10	斗,と		りょうり、ざいりょう	料理、材料	
量	リョウ	はか(る)	12	里,さと		たいりょう、しつりょう、すうりょう	大量、質量、数量	
輪	リン	わ	15	車,くるまへん		ごりん、わ、わゴム、りんかく、にりん	五輪、輪、輪ゴム、輪郭、二輪	
類	ルイ	たぐ(い)	18	頁,おおがい	类(中)、類	しゅるい、るいぎご	種類、類義語	
令	レイ		5	亻,にんべん		めいれい、しれいかん	命令、司令官	
冷	レイ	さ(める)、さ(ます)、つめ(たい)、ひ(える)、ひ(やす)	7	冫,にすい		れいぞうこ	冷蔵庫	
例	レイ	たと(える)	8	亻,にんべん		れい、れいぶん、たとえば	例、例文、例えば	
歴	レキ		14	止,とめる	歷	れきし	歴史	
連	レン	つら(なる)、つ(れる)、つら(ねる)	10	辵辶⻌,しんにょう		れんらく、れんぞく、かんれん、れんきゅう	連絡、連続、関連、連休	
老	ロウ	お(いる)、ふ(ける)	6	老耂,おいかんむり		ろうじん	老人	
労	ロウ	いたわ(る)	7	力,ちから		ろうどう、ひろう	労働、疲労	
録	ロク		16	釒,かねへん	錄	ろくおん、ろくが	録音、録画	
圧	アツ		5	土,つち	壓	あっしょう、けつあつ	圧勝、血圧	
移	イ	うつ(す)、うつ(る)	11	禾,のぎへん		いどう、いしょく、いしょくしゅじゅつ	移動、移植、移植手術	
因	イン	よ(る)、ちな(みに)	6	囗,くにがまえ		げんいん、よういん、しいん、はいいんをかんがえる	原因、要因、死因、敗因を考える	
永	エイ	なが(い)	5	水,みず		えいえん、えいじゅう	永遠、永住	
営	エイ	いとな(む)	12	⺍,つかんむり	營	えいぎょうちゅう	営業中	
衛	エイ		0	行,ぎょう,ぎょうがまえ	衞	じえいたい、ぼうえい、えいせい	自衛隊、防衛、衛星	
易	イ、エキ	やす(い)	8	日,ひ		かんい、ぼうえき	簡易、貿易	
益	エキ、ヤク	ます	10	皿,さら	益	ゆうえき、ますます、りえき	有益、益々、利益	
液	エキ		11	氵,さんずい		けつえき、えきたい	血液、液体	
演	エン		14	氵,さんずい		えんじる、しゅつえん、こうえん、えんぎ、えんげき	演じる、出演、講演、演技、演劇	
応	オウ	こた(える)	7	心,こころ	應	おうえん、おうじる、たいおう、おうとう	応援、応じる、対応、応答	
往	オウ		7	彳,ぎょうにんべん		おうふく、おうらい	往復、往来	
桜	オウ	さくら	10	木,きへん	櫻			
恩	オン		10	心,こころ		おんがえし、おんじん	恩返し、恩人	
可	カ		5	口,くち		かのう、ふかのう、ふかけつ、かわいい	可能、不可能、不可欠、可愛い	
仮	カ、ケ	かり	6	亻,にんべん	假	かりに、かせつ、かな、ひらがな、かたかな、けびょう	仮に、仮設、仮名、平仮名、片仮名、仮病	
価	カ	あたい	8	亻,にんべん	價	かち(のある)、ていか、かかく、ひょうか	価値、定価、価格、評価	
河	カ	かわ	8	氵,さんずい		ぎんが、ひょうが、かっぱ、たいが、かせん(かわ＋かわ)	銀河、氷河、河童、大河、河川	
過	カ	す(ぎる)、す(ごす)、あやま(ち)、あやま(つ)	12	辵辶⻌,しんにょう		～すぎ、かこ、かじょう、かてい、かろう	～過ぎ、過去、過剰、過程、過労	
賀	ガ		12	貝,こがい		ねんがじょう、きんがしんねん	年賀状、謹賀新年	
快	カイ	こころよ(い)	7	忄,りっしんべん		かいてき、かいせい、ゆかい、かいかん	快適、快晴、愉快、快感	
解	カイ、ゲ	と(かす)、と(く)、と(ける)	13	角,つのへん,かくへん		かいけつ、りかい、かいこ、かいしゃく	解決、理解、解雇、解釈	
格	カク、コウ		10	木,きへん		せいかく、ごうかく、かかく、かくさ、かくとう、しかく	性格、合格、価格、格差、格闘、資格	
確	カク	たし(か)、たし(かめる)	15	石,いしへん		かくにん、せいかく(な)	確認、正確な	
額	ガク	ひたい	18	頁,おおがい		きんがく、はんがく、かがく	金額、半額、科学	
