漢字	音読み	訓読み	画数	部首	異体字	れい	例	
筋	キン	すじ	12	𥫗,たけかんむり		きんにく、あらすじ、すじみち	筋肉、粗筋、筋道	
系	ケイ		7	糹,いとへん		けいとう、けいれつ、かけい、ぶんけい、りけい	系統、系列、家系、文系、理系	
敬	ケイ	うやま(う)	12	攴攵,のぶん		けいい、そんけい、けいぐ、けいご	敬意、尊敬、敬具、敬語	
警	ケイ		19	訁,ごんべん		けいさつ、けいしちょう、けいかい、けいかん	警察、警視庁、警戒、警官	
劇	ゲキ		15	刂,りっとう		げきじょう、えんげき、ひげき	劇場、演劇、悲劇	
激	ゲキ	はげ(しい)	16	氵,さんずい		かんげき、きゅうげき、しげき、げきど	感激、急激、刺激、激怒	
穴	ケツ	あな	5	穴,あなかんむり		おとしあな、ぼけつ	落とし穴、墓穴	
絹	ケン	きぬ	13	糹,いとへん		きぬいと、けんぷ	絹糸、絹布	
権	ケン、ゴン		15	木,きへん	權	せいけん、けんり、けんりょく、じんけん、けんげん	政権、権利、権力、人権、権限	
憲	ケン		16	心,こころ		けんぽう、けんしょう、けんぽうきねんび	憲法、憲章、憲法記念日	
源	ゲン	みなもと	13	氵,さんずい		ごげん、しげん、でんげん、げんじ	語源、資源、電源、源氏	
厳	ゲン、ゴン	きび(しい)、おごそ(か)	17	⺍,つかんむり	嚴	げんみつ、げんかく、げんしゅ	厳密、厳格、厳守	
己	コ、キ	おのれ	3	己,おのれ		じこ、じこしょうかい	自己、自己紹介	
呼	コ	よ(ぶ)	8	口,くちへん		こきゅう、よびすて、こしょう	呼吸、呼び捨て、呼称	
誤	ゴ	あやま(る)	14	訁,ごんべん	误(中)	ごかい、ごじ、ごさ	誤解、誤字、誤差	wu4
后	コウ、ゴウ	きさき	6	口,くちへん		こうごう、こうひ	皇后、后妃	
孝	コウ		7	子,こ		おやこうこう、おやふこう	親孝行、親不孝	
皇	オウ、コウ		9	白,しろ		てんのう、こうごう、こうぞく	天皇、皇后、皇族	
紅	コウ、ク	くれない、べに	9	糹,いとへん		くちべに、こうはく、こうよう	口紅、紅白、紅葉	
降	コウ	お(りる)、お(ろす)、ふ(る)	10	阜阝,こざとへん		こうさん、こうすい、こうふく、いこう	降参、降水、降伏、以降	
鋼	コウ	はがね	16	釒,かねへん		こうてつ、こうはん、てっこう	鋼鉄、鋼板、鉄鋼	
刻	コク	きざ(む)	8	刂,りっとう		じこく、しんこく、こくいっこく	時刻、深刻、刻一刻	
穀	コク		14	禾,のぎへん	穀	こくもつ、こくるい、べいこく	穀物、穀類、米穀	
骨	コツ	ほね	10	骨,ほねへん		こっせつ、がいこつ	骨折、骸骨	
困	コン	こま(る)	7	囗,くにがまえ		こんなん、こんわく、ひんこん	困難、困惑、貧困	
砂	サ、シャ	すな	9	石,いしへん		さとう、すなはま、さばく	佐藤、砂浜、砂漠	
座	ザ	すわ(る)	10	广,まだれ		ざせき、せいざx2	座席、星座、正座	
済	サイ、ザイ	す(ませる)、す(む)	11	氵,さんずい	濟、济(中)	けいざい、きゅうさい、へんさい	経済、救済、返済	
